x                       V                     vel                       p                      cs                  dd1[i]             dd2_left[i]            dd2_right[i]             dd3_left[i]            dd3_right[i]
-128.866122188368       20216.4679014016        -71.9863909143983       1e-09                   4.22139498616893        0.000528880981074347    2.85360855925167e-05    2.85360855925167e-05    -1.87029712255718e-07   -1.87029712255718e-07   
-125.719792384749       20216.4679014016        -71.9863909143983       0.000528880981074347    4.22139498616893        0.000528880981074347    2.85360855925167e-05    2.85360855925167e-05    -1.87029712255718e-07   -1.87029712255718e-07   
-123.622239182335       18354.2158958425        -70.8962453734205       0.00066092739865303     4.49644381082711        0.00066092739865303     2.85360855925167e-05    2.73239511597908e-05    -1.87029712255718e-07   -4.09663117680886e-07   
-121.708978060233       17246.9423875432        -69.7956386509741       0.000766371374733154    4.69353508340373        0.000766371374733154    2.73239511597908e-05    2.50280703756969e-05    -1.87029712255718e-07   -2.51923123616581e-07   
-119.914991396179       16426.7807968629        -68.7310172307435       0.000856445070689226    4.842285176919          0.000856445070689226    2.50280703756969e-05    2.37041254601858e-05    -4.09663117680886e-07   -1.13328881099126e-07   
-118.218411983477       15764.0596265087        -67.7192676571528       0.000937080081590738    4.96188577743886        0.000937080081590738    2.37041254601858e-05    2.31392930745363e-05    -2.51923123616581e-07   -9.13167231838163e-09   
-116.602099481038       15196.7672268557        -66.7567285733332       0.00101202195619192     5.0628486870397         0.00101202195619192     2.31392930745363e-05    2.30958397287523e-05    -1.13328881099126e-07   6.64258395839443e-08    
-115.053848052428       14692.9980121681        -65.8357094107255       0.00108366721509392     5.15142702514342        0.00108366721509392     2.30958397287523e-05    2.33992427709502e-05    -9.13167231838163e-09   9.61652105567109e-08    
-113.562493332676       14234.8587453141        -64.9483396132642       0.00115352012039967     5.23134717731596        0.00115352012039967     2.33992427709502e-05    2.38225159562071e-05    6.64258395839443e-08    1.03275360177261e-07    
-112.122927206432       13814.7158893601        -64.0910858311892       0.00122216988956859     5.30470385490096        0.00122216988956859     2.38225159562071e-05    2.42618608052274e-05    9.61652105567109e-08    9.89153095303179e-08    
-110.729978503354       13427.833858314         -63.2610016062527       0.00128982774246838     5.37270767113901        0.00128982774246838     2.42618608052274e-05    2.46695439203307e-05    1.03275360177261e-07    8.3696761522825e-08     
-109.378140818593       13070.5767593619        -62.4551642877984       0.00135656575776337     5.43615931609318        0.00135656575776337     2.46695439203307e-05    2.50044879214354e-05    9.89153095303179e-08    6.96326456409637e-08    
-108.064205578825       12740.4755846022        -61.672004000941        0.00142231461086935     5.49559893208556        0.00142231461086935     2.50044879214354e-05    2.52755539306861e-05    8.3696761522825e-08     5.35964157301829e-08    
-106.784949567365       12435.0787670587        -60.9098692164271       0.00148701786035632     5.55145389688652        0.00148701786035632     2.52755539306861e-05    2.54788181674388e-05    6.96326456409637e-08    3.40842750758939e-08    
-105.537568424757       12152.0455964594        -60.1673152047693       0.00155061047330516     5.60402967722807        0.00155061047330516     2.54788181674388e-05    2.56049316135938e-05    5.35964157301829e-08    1.19579339116806e-08    
-104.319784312787       11889.8132130035        -59.443204336052        0.00161300275777837     5.65365685523454        0.00161300275777837     2.56049316135938e-05    2.56481594473422e-05    3.40842750758939e-08    -7.61521749877401e-09   
-103.129275283524       11646.4501941131        -58.7363731666827       0.00167410716963749     5.70049789796042        0.00167410716963749     2.56481594473422e-05    2.56212280162319e-05    1.19579339116806e-08    -3.73125751741394e-08   
-101.963258989399       11420.4568531785        -58.0453786723357       0.00173386565009728     5.74478572941647        0.00173386565009728     2.56212280162319e-05    2.54919864085499e-05    -7.61521749877401e-09   -5.88208027553154e-08   
-100.821037433037       11210.8558764228        -57.3699872422841       0.00179212738211114     5.7866630846339         0.00179212738211114     2.54919864085499e-05    2.52922150967069e-05    -3.73125751741394e-08   -7.86265624015896e-08   
-99.7005127604093       11016.0801425959        -56.7090937481632       0.00184883634252314     5.82622366543128        0.00184883634252314     2.52922150967069e-05    2.50300692643438e-05    -5.88208027553154e-08   -9.90912612102511e-08   
-98.5994820541863       10834.8587691538        -56.061486971756        0.00190396979740788     5.86362286412998        0.00190396979740788     2.50300692643438e-05    2.4705341633039e-05     -7.86265624015896e-08   -1.13068367733388e-07   
-97.5166904071837       10666.1593591626        -55.4264649044048       0.00195748844793181     5.89899479139745        0.00195748844793181     2.4705341633039e-05     2.43407676613814e-05    -9.90912612102511e-08   -1.22694462600462e-07   
-96.4507473985779       10508.8920457048        -54.8031939862741       0.00200939407216173     5.9324679211981         0.00200939407216173     2.43407676613814e-05    2.3951182089852e-05     -1.13068367733388e-07   -1.2785582203892e-07    
-95.4005123901919       10361.9974279167        -54.1909354376457       0.00205971269152419     5.96416208306206        0.00205971269152419     2.3951182089852e-05     2.35510750312423e-05    -1.22694462600462e-07   -1.24273745116734e-07   
-94.3651604109286       10224.5356922709        -53.5890832956232       0.00210849338014501     5.99421468615218        0.002108493380145       2.35510750312423e-05    2.316752236668e-05      -1.2785582203892e-07    -1.17005172346924e-07   
-93.3435548395475       10095.509422235         -52.9968024470855       0.00215583759416079     6.02277327381369        0.00215583759416079     2.316752236668e-05      2.28111183358843e-05    -1.24273745116734e-07   -1.01670158568772e-07   
-92.3349986514928       9973.9790572519         -52.4134723538556       0.00220186073308604     6.04997422016346        0.00220186073308604     2.28111183358843e-05    2.25052731982369e-05    -1.17005172346924e-07   -8.44643931858832e-08   
-91.3385668752759       9859.08531502093        -51.8383111898827       0.00224671663737612     6.07598702634232        0.00224671663737612     2.25052731982369e-05    2.22541966562892e-05    -1.01670158568772e-07   -6.20078664045298e-08   
-90.353729359968        9750.03046036518        -51.2707515086431       0.00229055915465299     6.10095914988441        0.002290559154653       2.22541966562892e-05    2.20719650195942e-05    -8.44643931858832e-08   -4.28553580972183e-08   
-89.3796789053173       9645.97575696836        -50.7100709155098       0.00233356003120093     6.12501203922552        0.00233356003120094     2.20719650195942e-05    2.19473999441438e-05    -6.20078664045298e-08   -2.4183029675303e-08    
-88.41619247516         9546.32250942538        -50.1559077911948       0.00237585696133455     6.1482649028219         0.00237585696133454     2.19473999441438e-05    2.18778569070965e-05    -4.28553580972183e-08   -1.1375810995645e-08    
-87.4628248152259       9450.54920172313        -49.6078137195734       0.00241757644535793     6.17082181801069        0.00241757644535793     2.18778569070965e-05    2.18454813358459e-05    -2.4183029675303e-08    -2.73359358067554e-09   
-86.5191918352797       9358.25527381689        -49.0654288618525       0.00245881141038136     6.19276255647436        0.00245881141038136     2.18454813358459e-05    2.18377790998344e-05    -1.1375810995645e-08    -3.02966416352931e-09   
-85.5846772320488       9269.11778463344        -48.5283182616209       0.00249962889750832     6.21414443948616        0.00249962889750832     2.18377790998344e-05    2.1829325247212e-05     -2.73359358067554e-09   -8.99731420579948e-09   
-84.659094156394        9182.96119189147        -47.9963495881126       0.00254004121854699     6.23499531351358        0.00254004121854699     2.1829325247212e-05     2.18044556899166e-05    -3.02966416352931e-09   -1.71450167623005e-08   
-83.7422032023722       9099.69202817718        -47.469406871475        0.00258003190234931     6.25533049143566        0.0025800319023493      2.18044556899166e-05    2.17575003312064e-05    -8.99731420579948e-09   -3.26397900945462e-08   
-82.8334478375486       9019.2462293357         -46.9472246584708       0.00261957573621315     6.27516249209263        0.00261957573621314     2.17575003312064e-05    2.16689108672694e-05    -1.71450167623005e-08   -4.57038182321763e-08   
-81.9328884032697       8941.61813533091        -46.4299088302977       0.00265860864490399     6.29447684800215        0.00265860864490398     2.16689108672694e-05    2.15459445162124e-05    -3.26397900945462e-08   -5.65739279448268e-08   
-81.040098069896        8866.74035133792        -45.9172869497301       0.00269708641802163     6.31326183174723        0.00269708641802164     2.15459445162124e-05    2.13950239109347e-05    -4.57038182321763e-08   -7.10298616016121e-08   
-80.1545429882211       8794.55317827348        -45.409114592133        0.00273497691408325     6.33152165916107        0.00273497691408325     2.13950239109347e-05    2.12070949091842e-05    -5.65739279448268e-08   -7.27010893679906e-08   
-79.2764520182048       8725.04596535423        -44.9055658258133       0.00277222933656241     6.34925565033814        0.00277222933656241     2.12070949091842e-05    2.10162855875926e-05    -7.10298616016121e-08   -8.14982098841865e-08   
-78.4049853089256       8658.07543117033        -44.4061787522696       0.00280885546927814     6.36648549414111        0.00280885546927814     2.10162855875926e-05    2.08040519723753e-05    -7.27010893679906e-08   -7.61768798884309e-08   
-77.54050960158         8593.57088199276        -43.9111606013286       0.00284483341003823     6.38321726047097        0.00284483341003824     2.08040519723753e-05    2.06071717845369e-05    -8.14982098841865e-08   -7.78211122026002e-08   
-76.6821841300358       8531.33976842752        -43.4200081248533       0.00288020649553768     6.399481778064          0.00288020649553767     2.06071717845369e-05    2.04075151637908e-05    -7.61768798884309e-08   -7.10776090131921e-08   
-75.8302258458377       8471.26561234757        -42.9328107820669       0.00291498464968452     6.41529542362022        0.00291498464968452     2.04075151637908e-05    2.02264476388963e-05    -7.78211122026002e-08   -6.78785568299902e-08   
-74.984100539953        8413.17577057872        -42.4492219264503       0.00294921427882725     6.43068919490416        0.00294921427882725     2.02264476388963e-05    2.00547115991145e-05    -7.10776090131921e-08   -6.58227850073492e-08   
-74.1436687166176       8356.9348968169         -41.9691205728135       0.00298292638316398     6.44568610080919        0.00298292638316398     2.00547115991145e-05    1.98892361401869e-05    -6.78785568299902e-08   -5.26358060457481e-08   
-73.3086442919063       8302.41245057131        -41.4923066230357       0.00301615484300364     6.46030978635499        0.00301615484300365     1.98892361401869e-05    1.97577307559435e-05    -6.58227850073492e-08   -7.18483301880259e-08   
-72.4777739338391       8249.42755037549        -41.0180356561104       0.00304896598324187     6.47459445091778        0.00304896598324187     1.97577307559435e-05    1.95792831976774e-05    -5.26358060457481e-08   -4.39464950277223e-08   
-71.6531920390842       8198.10301942414        -40.5475057059861       0.00308128595304443     6.48854114001017        0.00308128595304444     1.95792831976774e-05    1.9470783604727e-05     -7.18483301880259e-08   -7.65883809896015e-08   
-70.8317805232775       8148.09801295866        -40.0789253727756       0.00311324093487974     6.50217813189744        0.00311324093487973     1.9470783604727e-05     1.92827933279537e-05    -4.39464950277223e-08   -4.92357505021644e-08   
