x                       V                     vel                       p                      cs                  dd1[i]             dd2_left[i]            dd2_right[i]             dd3_left[i]            dd3_right[i]
-92.084324202204        16094.2558712088        -71.0121959483438       0.000774718481780438    4.55860312558002        0.000774718481780438    8.20458925193064e-05    8.20458925193064e-05    -8.56424364594097e-07   -8.56424364594097e-07   
-90.4558722759459       13790.9396218094        -70.1379289543154       0.00106707136139801     4.95242646204901        0.00106707136139801     8.20458925193064e-05    7.7821639517008e-05     -8.56424364594097e-07   -2.84370560842982e-06   
-89.0288844690132       12627.669971519         -69.2019916539251       0.00129251013176227     5.21558424000266        0.00129251013176227     7.7821639517008e-05     6.59701611309812e-05    -8.56424364594097e-07   -1.71334744713349e-06   
-87.71758235339         11918.6816212395        -68.2292101786071       0.00146666463016345     5.39763972677736        0.00146666463016345     6.59701611309812e-05    5.93923415042165e-05    -2.84370560842982e-06   -6.57866912198506e-07   
-86.4873783317899       11401.5982357874        -67.2624726330735       0.0016133647677635      5.53698728097599        0.0016133647677635      5.93923415042165e-05    5.70155209735692e-05    -1.71334744713349e-06   -1.10826583569516e-07   
-85.3190529949715       10974.4554795664        -66.3208354166689       0.00174690463610336     5.65262876249692        0.00174690463610336     5.70155209735692e-05    5.66344252742842e-05    -6.57866912198506e-07   1.42685357416665e-07    
-84.2015738085006       10600.0572698576        -65.4100565429594       0.00187373189113987     5.75350115935813        0.00187373189113987     5.66344252742842e-05    5.71047175075847e-05    -1.10826583569516e-07   2.10892164537904e-07    
-83.1260531718839       10262.9167090077        -64.5291118817021       0.00199668444763449     5.84405769139956        0.00199668444763449     5.71047175075847e-05    5.77740683939293e-05    1.42685357416665e-07    2.23147093124832e-07    
-82.0883599994732       9956.68577469354        -63.6773809170191       0.00211670436963148     5.92668545455516        0.00211670436963148     5.77740683939293e-05    5.84583467159949e-05    2.10892164537904e-07    2.05910259084052e-07    
-81.0844644775239       9677.03655037061        -62.8529109094295       0.0022341988105132      6.0028359339747         0.00223419881051319     5.84583467159949e-05    5.90700229448377e-05    2.23147093124832e-07    1.42969617116041e-07    
-80.1101825703561       9420.58582134428        -62.0530671122284       0.00234937364945405     6.07350476675627        0.00234937364945405     5.90700229448377e-05    5.94824342058475e-05    2.05910259084052e-07    6.96993714022483e-08    
-79.1630382430904       9185.13545521397        -61.2764103628021       0.00246212373387773     6.13934578533741        0.00246212373387773     5.94824342058475e-05    5.9678060908026e-05     1.42969617116041e-07    -1.70175495181408e-08   
-78.2405707973839       8968.76106522337        -60.5214167434793       0.00257228991568312     6.20084048661221        0.00257228991568313     5.9678060908026e-05     5.96315084144231e-05    6.96993714022483e-08    -1.11484502950733e-07   
-77.3406338838636       8769.70732910298        -59.7867400123024       0.00267967148006549     6.2583190792095         0.00267967148006549     5.96315084144231e-05    5.93337985743217e-05    -1.70175495181408e-08   -2.03292386364919e-07   
-76.4614709439019       8586.74821819836        -59.0712667228064       0.0027840522332032      6.31215171353752        0.0027840522332032      5.93337985743217e-05    5.88030189337375e-05    -1.11484502950733e-07   -2.72811074094781e-07   
-75.6013089728512       8418.32454915011        -58.3737760013186       0.00288527384071998     6.36254294083134        0.00288527384071998     5.88030189337375e-05    5.81055946113843e-05    -2.03292386364919e-07   -3.58939295638665e-07   
-74.7580607929323       8263.13692814185        -57.6927050387904       0.00298328487828953     6.40979607644442        0.00298328487828953     5.81055946113843e-05    5.72060002729178e-05    -2.72811074094781e-07   -4.03878852115925e-07   
-73.9311700456276       8120.21783358277        -57.0276388062702       0.00307793521059134     6.45413360925334        0.00307793521059133     5.72060002729178e-05    5.62124514633258e-05    -3.58939295638665e-07   -4.28077489450241e-07   
-73.1190946664817       7988.168723758          -56.3772755513414       0.00316927749058014     6.49573235891106        0.00316927749058014     5.62124514633258e-05    5.51775185800878e-05    -4.03878852115925e-07   -4.38657317600478e-07   
-72.3202412605068       7865.80145306744        -55.7401912512152       0.00325745926029986     6.53484605569438        0.00325745926029986     5.51775185800878e-05    5.41339692177107e-05    -4.28077489450241e-07   -4.15534138735233e-07   
-71.5337300339592       7752.09321543989        -55.1154502358183       0.0033426389650089      6.57171322694351        0.00334263896500891     5.41339692177107e-05    5.31602496179098e-05    -4.38657317600478e-07   -3.69484957934921e-07   
-70.7586094344292       7645.9899204283         -54.5019830521808       0.00342506999016345     6.6065687793225         0.00342506999016346     5.31602496179098e-05    5.23067340761273e-05    -4.15534138735233e-07   -3.07267496160361e-07   
